time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-06-01T05:50:45.550Z,-30.4256,-179.1298,216.56,4.5,mb,,79,1.572,0.79,us,us10008x0q,2017-06-01T06:21:26.040Z,"113km N of L'Esperance Rock, New Zealand",earthquake,10.1,6.9,0.075,53,reviewed,us,us
2017-06-01T03:57:55.550Z,35.2555,-97.7912,11.93,2.8,mb_lg,,68,0.235,0.5,us,us10008x08,2017-06-02T05:15:17.156Z,"4km SSE of Tuttle, Oklahoma",earthquake,1.2,5.5,0.059,74,reviewed,us,us
2017-06-01T03:27:48.190Z,31.9388333,-115.704,14.61,2.68,ml,14,141,0.2176,0.13,ci,ci37658727,2017-06-01T16:57:23.342Z,"60km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.32,0.51,0.194,32,reviewed,ci,ci
2017-06-01T03:15:26.363Z,51.8956,178.4595,111.2,3.1,ml,,,,0.48,ak,ak16151601,2017-06-01T17:21:18.386Z,"6km SSW of Little Sitkin Island, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2017-06-01T02:42:41.937Z,53.724,-167.7295,40.6,2.5,ml,,,,0.41,ak,ak16151599,2017-06-01T14:22:00.122Z,"80km WSW of Dutch Harbor, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2017-05-31T23:20:52.480Z,36.436,-98.7746,3.35,2.9,mb_lg,,45,0.049,0.33,us,us10008wz6,2017-06-02T15:08:33.449Z,"32km NW of Fairview, Oklahoma",earthquake,3,7.4,0.06,72,reviewed,us,us
2017-05-31T22:20:53.650Z,19.0016,-65.4001,55,2.5,md,5,284,0.704,0.2,pr,pr2017151010,2017-06-02T01:12:43.270Z,"77km NNE of Luquillo, Puerto Rico",earthquake,4.98,8.9,0.35,4,reviewed,pr,pr
2017-05-31T21:38:04.270Z,18.8925,-65.3833,74,2.64,md,5,243,0.5936,0.3,pr,pr2017151009,2017-06-02T01:12:08.225Z,"65km N of Culebra, Puerto Rico",earthquake,3.15,4.81,0.29,4,reviewed,pr,pr
2017-05-31T21:30:59.090Z,18.986,-65.3686,59,2.96,md,11,252,0.6839,0.21,pr,pr2017151008,2017-06-02T01:11:08.163Z,"75km N of Culebra, Puerto Rico",earthquake,2.1,4.09,0.45,7,reviewed,pr,pr
2017-05-31T21:16:57.490Z,2.7624,128.5953,228.66,4.7,mb,,83,2.327,0.93,us,us10008wyf,2017-05-31T21:43:07.040Z,"131km NNE of Tobelo, Indonesia",earthquake,8.7,7.1,0.06,83,reviewed,us,us
2017-05-31T21:14:42.230Z,12.0937,-73.8436,10,4.4,mb,,49,3.768,1.5,us,us10008wyh,2017-05-31T21:34:20.040Z,"101km NNE of Santa Marta, Colombia",earthquake,7.4,1.9,0.139,15,reviewed,us,us
2017-05-31T20:35:33.617Z,52.1938,-173.9953,72.9,3.1,ml,,,,0.62,ak,ak16150661,2017-06-01T00:42:56.646Z,"14km E of Atka, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-05-31T19:17:46.641Z,59.8363,-136.5789,0,2.8,ml,,,,0.84,ak,ak16150215,2017-05-31T19:22:39.776Z,"82km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-31T17:38:52.210Z,-22.7338,-68.4801,111.37,4.9,mww,,33,0.352,1.02,us,us10008wvw,2017-05-31T22:32:52.591Z,"33km NW of San Pedro de Atacama, Chile",earthquake,6.6,4.6,0.075,17,reviewed,us,us
2017-05-31T14:55:22.600Z,34.0378333,-117.243,18.28,2.77,ml,147,15,0.01284,0.16,ci,ci37658111,2017-06-01T11:07:43.304Z,"2km SE of Loma Linda, CA",earthquake,0.11,0.19,0.165,23,reviewed,ci,ci
2017-05-31T14:38:29.160Z,-22.3386,-67.9105,173.06,4,mb,,182,0.658,0.75,us,us10008wu6,2017-06-02T05:45:06.040Z,"71km NNE of San Pedro de Atacama, Chile",earthquake,9.7,9.3,0.368,2,reviewed,us,us
2017-05-31T13:59:12.630Z,77.0229,15.7898,4.5,4.8,mb,,53,1.165,0.56,us,us10008wu0,2017-06-02T05:20:11.040Z,"133km S of Longyearbyen, Svalbard and Jan Mayen",earthquake,6.8,4.3,0.052,116,reviewed,us,us
2017-05-31T13:11:01.760Z,36.3216,-97.5421,5,2.9,mb_lg,,28,0.226,1.32,us,us10008wtx,2017-05-31T13:22:18.040Z,"23km W of Perry, Oklahoma",earthquake,3.9,2,0.055,86,reviewed,us,us
2017-05-31T12:52:41.980Z,36.275,-97.519,2.96,3,mb_lg,,35,0.201,0.41,us,us10008wtv,2017-05-31T13:08:54.040Z,"20km W of Perry, Oklahoma",earthquake,1,7.7,0.05,103,reviewed,us,us
2017-05-31T12:07:58.740Z,18.9858,-65.4011,51,2.51,md,3,307,0.6886,0.15,pr,pr2017151004,2017-06-02T01:14:11.232Z,"75km NNE of Luquillo, Puerto Rico",earthquake,4.12,7.99,0.38,2,reviewed,pr,pr
2017-05-31T10:13:26.030Z,51.7392,-175.3717,51.5,2.8,ml,,,,0.45,ak,ak16148812,2017-05-31T16:57:18.479Z,"90km E of Adak, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2017-05-31T08:13:34.550Z,51.8586,-175.3494,46.52,4.7,mb,,139,0.475,1.34,us,us10008wt8,2017-05-31T11:02:00.040Z,"87km WSW of Atka, Alaska",earthquake,6.2,5,0.031,308,reviewed,us,us
